Entry,Line,Message,Byte_Count,Decimals
346,692,"Dock_ResponseMeasure_7(eDiagInfo=1, eMode=1, OutState=1, Voltage=12996, Current=2)",24,"1,1,145,245,255,255,7,7,1,0,0,255,255,255,255,255,1,1,1,0,196,50,2,0"
347,694,"Dock_ResponseMeasure_8(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=1)",24,"1,1,145,245,255,255,8,7,1,0,0,255,255,255,255,255,1,1,0,18,0,0,1,0"
348,696,"Dock_ResponseMeasure_20(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,20,7,1,0,0,255,255,255,255,255,1,1,0,3,0,0,0,0"
349,698,"Dock_ResponseMeasure_22(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=1)",24,"1,1,145,245,255,255,22,7,1,0,0,255,255,255,255,255,1,1,0,5,0,0,1,0"
350,700,"Dock_ResponseMeasure_23(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,23,7,1,0,0,255,255,255,255,255,1,1,0,16,0,0,0,0"
351,702,"Dock_ResponseMeasure_24(eDiagInfo=1, eMode=1, OutState=1, Voltage=13003, Current=110)",24,"1,1,145,245,255,255,24,7,1,0,0,255,255,255,255,255,1,1,1,14,203,50,110,0"
352,704,"Dock_ResponseMeasure_25(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=1)",24,"1,1,145,245,255,255,25,7,1,0,0,255,255,255,255,255,1,1,0,9,0,0,1,0"
353,706,"Dock_ResponseMeasure_26(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,26,7,1,0,0,255,255,255,255,255,1,1,0,8,0,0,0,0"
354,708,"Dock_ResponseMeasure_28(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=2)",24,"1,1,145,245,255,255,28,7,1,0,0,255,255,255,255,255,1,1,0,13,0,0,2,0"
355,710,"Dock_ResponseMeasure_1(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,1,7,1,0,0,255,255,255,255,255,1,1,0,2,0,0,0,0"
356,712,"Dock_ResponseMeasure_3(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=3)",24,"1,1,145,245,255,255,3,7,1,0,0,255,255,255,255,255,1,1,0,7,0,0,3,0"
357,714,"Dock_ResponseMeasure_4(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,4,7,1,0,0,255,255,255,255,255,1,1,0,10,0,0,0,0"
358,716,"Dock_ResponseMeasure_5(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=1)",24,"1,1,145,245,255,255,5,7,1,0,0,255,255,255,255,255,1,1,0,11,0,0,1,0"
359,718,"Dock_ResponseMeasure_6(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,6,7,1,0,0,255,255,255,255,255,1,1,0,6,0,0,0,0"
360,720,"Dock_ResponseMeasure_7(eDiagInfo=1, eMode=1, OutState=1, Voltage=12987, Current=2)",24,"1,1,145,245,255,255,7,7,1,0,0,255,255,255,255,255,1,1,1,0,187,50,2,0"
361,722,"Dock_ResponseMeasure_8(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=1)",24,"1,1,145,245,255,255,8,7,1,0,0,255,255,255,255,255,1,1,0,18,0,0,1,0"
362,724,"Dock_ResponseMeasure_20(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,20,7,1,0,0,255,255,255,255,255,1,1,0,3,0,0,0,0"
363,726,"Dock_ResponseMeasure_22(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,22,7,1,0,0,255,255,255,255,255,1,1,0,5,0,0,0,0"
364,728,"Dock_ResponseMeasure_23(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,23,7,1,0,0,255,255,255,255,255,1,1,0,16,0,0,0,0"
365,730,"Dock_ResponseMeasure_24(eDiagInfo=1, eMode=1, OutState=1, Voltage=12994, Current=114)",24,"1,1,145,245,255,255,24,7,1,0,0,255,255,255,255,255,1,1,1,14,194,50,114,0"
366,732,"Dock_ResponseMeasure_25(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=1)",24,"1,1,145,245,255,255,25,7,1,0,0,255,255,255,255,255,1,1,0,9,0,0,1,0"
367,734,"Dock_ResponseMeasure_26(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,26,7,1,0,0,255,255,255,255,255,1,1,0,8,0,0,0,0"
368,736,"Dock_ResponseMeasure_28(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=4)",24,"1,1,145,245,255,255,28,7,1,0,0,255,255,255,255,255,1,1,0,13,0,0,4,0"
369,738,"Dock_ResponseMeasure_1(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,1,7,1,0,0,255,255,255,255,255,1,1,0,2,0,0,0,0"
370,740,"Dock_ResponseMeasure_3(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=3)",24,"1,1,145,245,255,255,3,7,1,0,0,255,255,255,255,255,1,1,0,7,0,0,3,0"
371,742,"Dock_ResponseMeasure_4(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,4,7,1,0,0,255,255,255,255,255,1,1,0,10,0,0,0,0"
372,744,"Dock_ResponseMeasure_5(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,5,7,1,0,0,255,255,255,255,255,1,1,0,11,0,0,0,0"
373,746,"Dock_ResponseMeasure_6(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,6,7,1,0,0,255,255,255,255,255,1,1,0,6,0,0,0,0"
374,748,"Dock_ResponseMeasure_7(eDiagInfo=1, eMode=1, OutState=1, Voltage=12987, Current=3)",24,"1,1,145,245,255,255,7,7,1,0,0,255,255,255,255,255,1,1,1,0,187,50,3,0"
375,750,"Dock_ResponseMeasure_8(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,8,7,1,0,0,255,255,255,255,255,1,1,0,18,0,0,0,0"
376,752,"Dock_ResponseMeasure_20(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,20,7,1,0,0,255,255,255,255,255,1,1,0,3,0,0,0,0"
377,754,"Dock_ResponseMeasure_22(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=1)",24,"1,1,145,245,255,255,22,7,1,0,0,255,255,255,255,255,1,1,0,5,0,0,1,0"
378,756,"Dock_ResponseMeasure_23(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,23,7,1,0,0,255,255,255,255,255,1,1,0,16,0,0,0,0"
379,758,"Dock_ResponseMeasure_24(eDiagInfo=1, eMode=1, OutState=1, Voltage=13003, Current=114)",24,"1,1,145,245,255,255,24,7,1,0,0,255,255,255,255,255,1,1,1,14,203,50,114,0"
380,760,"Dock_ResponseMeasure_25(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=1)",24,"1,1,145,245,255,255,25,7,1,0,0,255,255,255,255,255,1,1,0,9,0,0,1,0"
381,762,"Dock_ResponseMeasure_26(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,26,7,1,0,0,255,255,255,255,255,1,1,0,8,0,0,0,0"
382,764,"Dock_ResponseMeasure_28(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=1)",24,"1,1,145,245,255,255,28,7,1,0,0,255,255,255,255,255,1,1,0,13,0,0,1,0"
383,766,"Dock_ResponseMeasure_1(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,1,7,1,0,0,255,255,255,255,255,1,1,0,2,0,0,0,0"
384,768,"Dock_ResponseMeasure_3(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=3)",24,"1,1,145,245,255,255,3,7,1,0,0,255,255,255,255,255,1,1,0,7,0,0,3,0"
385,770,"Dock_ResponseMeasure_4(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,4,7,1,0,0,255,255,255,255,255,1,1,0,10,0,0,0,0"
386,772,"Dock_ResponseMeasure_5(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,5,7,1,0,0,255,255,255,255,255,1,1,0,11,0,0,0,0"
387,774,"Dock_ResponseMeasure_6(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,6,7,1,0,0,255,255,255,255,255,1,1,0,6,0,0,0,0"
388,776,"Dock_ResponseMeasure_7(eDiagInfo=1, eMode=1, OutState=1, Voltage=12996, Current=2)",24,"1,1,145,245,255,255,7,7,1,0,0,255,255,255,255,255,1,1,1,0,196,50,2,0"
389,778,"Dock_ResponseMeasure_8(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=1)",24,"1,1,145,245,255,255,8,7,1,0,0,255,255,255,255,255,1,1,0,18,0,0,1,0"
390,780,"Dock_ResponseMeasure_20(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,20,7,1,0,0,255,255,255,255,255,1,1,0,3,0,0,0,0"
391,782,"Dock_ResponseMeasure_22(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=1)",24,"1,1,145,245,255,255,22,7,1,0,0,255,255,255,255,255,1,1,0,5,0,0,1,0"
392,784,"Dock_ResponseMeasure_23(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,23,7,1,0,0,255,255,255,255,255,1,1,0,16,0,0,0,0"
393,786,"Dock_ResponseMeasure_24(eDiagInfo=1, eMode=1, OutState=1, Voltage=13003, Current=112)",24,"1,1,145,245,255,255,24,7,1,0,0,255,255,255,255,255,1,1,1,14,203,50,112,0"
394,788,"Dock_ResponseMeasure_25(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,25,7,1,0,0,255,255,255,255,255,1,1,0,9,0,0,0,0"
395,790,"Dock_ResponseMeasure_26(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=1)",24,"1,1,145,245,255,255,26,7,1,0,0,255,255,255,255,255,1,1,0,8,0,0,1,0"
396,792,"Dock_ResponseMeasure_28(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=6)",24,"1,1,145,245,255,255,28,7,1,0,0,255,255,255,255,255,1,1,0,13,0,0,6,0"
397,794,"Dock_ResponseMeasure_51(eDiagInfo=1, eMode=4, OutState=0, Voltage=12996, Current=0)",24,"1,1,145,245,255,255,51,7,1,0,0,255,255,255,255,255,1,4,0,0,196,50,0,0"
398,796,"Dock_ResponseMeasure_52(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,52,7,1,0,0,255,255,255,255,255,1,1,0,17,0,0,0,0"
399,798,"Dock_ResponseMeasure_54(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,54,7,1,0,0,255,255,255,255,255,1,1,0,1,0,0,0,0"
400,800,"Dock_Errors(category=4, status=255, code=2, payload=0)",32,"1,1,145,245,255,255,4,0,1,0,0,255,255,255,255,255,4,255,2,0,255,255,255,255,0,0,0,0,0,0,0,0"
401,802,"Dock_ResponseMeasure_1(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,1,7,1,0,0,255,255,255,255,255,1,1,0,2,0,0,0,0"
402,804,"Dock_ResponseMeasure_3(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=3)",24,"1,1,145,245,255,255,3,7,1,0,0,255,255,255,255,255,1,1,0,7,0,0,3,0"
403,806,"Dock_ResponseMeasure_4(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,4,7,1,0,0,255,255,255,255,255,1,1,0,10,0,0,0,0"
404,808,"Dock_ResponseMeasure_5(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=1)",24,"1,1,145,245,255,255,5,7,1,0,0,255,255,255,255,255,1,1,0,11,0,0,1,0"
405,810,"Dock_ResponseMeasure_6(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,6,7,1,0,0,255,255,255,255,255,1,1,0,6,0,0,0,0"
406,812,"Dock_ResponseMeasure_7(eDiagInfo=1, eMode=1, OutState=1, Voltage=12996, Current=1)",24,"1,1,145,245,255,255,7,7,1,0,0,255,255,255,255,255,1,1,1,0,196,50,1,0"
407,814,"Dock_ResponseMeasure_8(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=1)",24,"1,1,145,245,255,255,8,7,1,0,0,255,255,255,255,255,1,1,0,18,0,0,1,0"
408,816,"Dock_ResponseMeasure_9(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,9,7,1,0,0,255,255,255,255,255,1,1,0,15,0,0,0,0"
409,818,"Dock_ResponseMeasure_20(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,20,7,1,0,0,255,255,255,255,255,1,1,0,3,0,0,0,0"
410,820,"Dock_ResponseMeasure_22(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=1)",24,"1,1,145,245,255,255,22,7,1,0,0,255,255,255,255,255,1,1,0,5,0,0,1,0"
411,822,"Dock_ResponseMeasure_23(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,23,7,1,0,0,255,255,255,255,255,1,1,0,16,0,0,0,0"
412,824,"Dock_ResponseMeasure_24(eDiagInfo=1, eMode=1, OutState=1, Voltage=12994, Current=111)",24,"1,1,145,245,255,255,24,7,1,0,0,255,255,255,255,255,1,1,1,14,194,50,111,0"
413,826,"Dock_ResponseMeasure_25(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=1)",24,"1,1,145,245,255,255,25,7,1,0,0,255,255,255,255,255,1,1,0,9,0,0,1,0"
414,828,"Dock_ResponseMeasure_1(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,1,7,1,0,0,255,255,255,255,255,1,1,0,2,0,0,0,0"
415,830,"Dock_ResponseMeasure_3(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=3)",24,"1,1,145,245,255,255,3,7,1,0,0,255,255,255,255,255,1,1,0,7,0,0,3,0"
416,832,"Dock_ResponseMeasure_4(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,4,7,1,0,0,255,255,255,255,255,1,1,0,10,0,0,0,0"
417,834,"Dock_ResponseMeasure_5(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,5,7,1,0,0,255,255,255,255,255,1,1,0,11,0,0,0,0"
418,836,"Dock_ResponseMeasure_6(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,6,7,1,0,0,255,255,255,255,255,1,1,0,6,0,0,0,0"
419,838,"Dock_ResponseMeasure_7(eDiagInfo=1, eMode=1, OutState=1, Voltage=12987, Current=2)",24,"1,1,145,245,255,255,7,7,1,0,0,255,255,255,255,255,1,1,1,0,187,50,2,0"
420,840,"Dock_ResponseMeasure_8(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=1)",24,"1,1,145,245,255,255,8,7,1,0,0,255,255,255,255,255,1,1,0,18,0,0,1,0"
421,842,"Dock_ResponseMeasure_9(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,9,7,1,0,0,255,255,255,255,255,1,1,0,15,0,0,0,0"
422,844,"Dock_ResponseMeasure_20(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,20,7,1,0,0,255,255,255,255,255,1,1,0,3,0,0,0,0"
423,846,"Dock_ResponseMeasure_22(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=1)",24,"1,1,145,245,255,255,22,7,1,0,0,255,255,255,255,255,1,1,0,5,0,0,1,0"
424,848,"Dock_ResponseMeasure_23(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,23,7,1,0,0,255,255,255,255,255,1,1,0,16,0,0,0,0"
425,850,"Dock_ResponseMeasure_24(eDiagInfo=1, eMode=1, OutState=1, Voltage=13003, Current=112)",24,"1,1,145,245,255,255,24,7,1,0,0,255,255,255,255,255,1,1,1,14,203,50,112,0"
426,852,"Dock_ResponseMeasure_25(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=2)",24,"1,1,145,245,255,255,25,7,1,0,0,255,255,255,255,255,1,1,0,9,0,0,2,0"
427,854,"Dock_ResponseMeasure_51(eDiagInfo=1, eMode=4, OutState=0, Voltage=13015, Current=0)",24,"1,1,145,245,255,255,51,7,1,0,0,255,255,255,255,255,1,4,0,0,215,50,0,0"
428,856,"Dock_ResponseMeasure_52(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,52,7,1,0,0,255,255,255,255,255,1,1,0,17,0,0,0,0"
429,858,"Dock_ResponseMeasure_54(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,54,7,1,0,0,255,255,255,255,255,1,1,0,1,0,0,0,0"
430,860,"Dock_ResponseMeasure_1(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,1,7,1,0,0,255,255,255,255,255,1,1,0,2,0,0,0,0"
431,862,"Dock_ResponseMeasure_3(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=3)",24,"1,1,145,245,255,255,3,7,1,0,0,255,255,255,255,255,1,1,0,7,0,0,3,0"
432,864,"Dock_ResponseMeasure_4(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,4,7,1,0,0,255,255,255,255,255,1,1,0,10,0,0,0,0"
433,866,"Dock_ResponseMeasure_5(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=1)",24,"1,1,145,245,255,255,5,7,1,0,0,255,255,255,255,255,1,1,0,11,0,0,1,0"
434,868,"Dock_ResponseMeasure_6(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,6,7,1,0,0,255,255,255,255,255,1,1,0,6,0,0,0,0"
435,870,"Dock_ResponseMeasure_7(eDiagInfo=1, eMode=1, OutState=1, Voltage=12987, Current=2)",24,"1,1,145,245,255,255,7,7,1,0,0,255,255,255,255,255,1,1,1,0,187,50,2,0"
436,872,"Dock_ResponseMeasure_8(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=1)",24,"1,1,145,245,255,255,8,7,1,0,0,255,255,255,255,255,1,1,0,18,0,0,1,0"
437,874,"Dock_ResponseMeasure_9(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,9,7,1,0,0,255,255,255,255,255,1,1,0,15,0,0,0,0"
438,876,"Dock_ResponseMeasure_20(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,20,7,1,0,0,255,255,255,255,255,1,1,0,3,0,0,0,0"
439,878,"Dock_ResponseMeasure_22(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,22,7,1,0,0,255,255,255,255,255,1,1,0,5,0,0,0,0"
440,880,"Dock_ResponseMeasure_23(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,23,7,1,0,0,255,255,255,255,255,1,1,0,16,0,0,0,0"
441,882,"Dock_ResponseMeasure_24(eDiagInfo=1, eMode=1, OutState=1, Voltage=12994, Current=111)",24,"1,1,145,245,255,255,24,7,1,0,0,255,255,255,255,255,1,1,1,14,194,50,111,0"
442,884,"Dock_ResponseMeasure_1(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,1,7,1,0,0,255,255,255,255,255,1,1,0,2,0,0,0,0"
443,886,"Dock_ResponseMeasure_3(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=3)",24,"1,1,145,245,255,255,3,7,1,0,0,255,255,255,255,255,1,1,0,7,0,0,3,0"
444,888,"Dock_ResponseMeasure_4(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,4,7,1,0,0,255,255,255,255,255,1,1,0,10,0,0,0,0"
445,890,"Dock_ResponseMeasure_5(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,5,7,1,0,0,255,255,255,255,255,1,1,0,11,0,0,0,0"
446,892,"Dock_ResponseMeasure_6(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,6,7,1,0,0,255,255,255,255,255,1,1,0,6,0,0,0,0"
447,894,"Dock_ResponseMeasure_7(eDiagInfo=1, eMode=1, OutState=1, Voltage=12987, Current=2)",24,"1,1,145,245,255,255,7,7,1,0,0,255,255,255,255,255,1,1,1,0,187,50,2,0"
448,896,"Dock_ResponseMeasure_8(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,8,7,1,0,0,255,255,255,255,255,1,1,0,18,0,0,0,0"
449,898,"Dock_ResponseMeasure_9(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,9,7,1,0,0,255,255,255,255,255,1,1,0,15,0,0,0,0"
450,900,"Dock_ResponseMeasure_20(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,20,7,1,0,0,255,255,255,255,255,1,1,0,3,0,0,0,0"
451,902,"Dock_ResponseMeasure_22(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,22,7,1,0,0,255,255,255,255,255,1,1,0,5,0,0,0,0"
452,904,"Dock_ResponseMeasure_23(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,23,7,1,0,0,255,255,255,255,255,1,1,0,16,0,0,0,0"
453,906,"Dock_ResponseMeasure_24(eDiagInfo=1, eMode=1, OutState=1, Voltage=12994, Current=114)",24,"1,1,145,245,255,255,24,7,1,0,0,255,255,255,255,255,1,1,1,14,194,50,114,0"
454,908,"Dock_ResponseMeasure_25(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,25,7,1,0,0,255,255,255,255,255,1,1,0,9,0,0,0,0"
455,910,"Dock_DockConnectionStatus(readyToDock=1, readyToFill=0, fillFinished=0, acceptedID=0)",24,"1,1,145,245,255,255,1,0,1,0,0,255,255,255,255,255,1,0,0,255,0,0,255,255"
456,912,"Dock_FillMsg1(fillType=2, b_Delivered=0, InjectionState=0, DeliveryOrder=1, TransferRate=0.0, VolumeMeasured=0.0, WaterBeforeInjection=0.0, ChemVolumeRequestedResponse=0.0, FlushVolumeMeasured=0.0, LevelRemaining=317.413330078125)",48,"1,1,145,245,255,255,1,16,1,0,0,255,255,255,255,255,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,180,158,67,0,0,0,0"
457,914,"Dock_FillMsg2(fillType=2, b_Delivered=0, InjectionState=0, DeliveryOrder=2, TransferRate=0.0, VolumeMeasured=0.0, WaterBeforeInjection=0.0, ChemVolumeRequestedResponse=0.0, FlushVolumeMeasured=0.0, LevelRemaining=310.49749755859375)",48,"1,1,145,245,255,255,2,16,1,0,0,255,255,255,255,255,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,63,155,67,0,0,0,0"
458,916,"Dock_FillMsg3(fillType=2, b_Delivered=0, InjectionState=0, DeliveryOrder=3, TransferRate=0.0, VolumeMeasured=0.0, WaterBeforeInjection=0.0, ChemVolumeRequestedResponse=0.0, FlushVolumeMeasured=0.0, LevelRemaining=296.4638977050781)",48,"1,1,145,245,255,255,3,16,1,0,0,255,255,255,255,255,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,59,148,67,0,0,0,0"
459,918,"Dock_FillMsg4(fillType=2, b_Delivered=0, InjectionState=0, DeliveryOrder=4, TransferRate=0.0, VolumeMeasured=0.0, WaterBeforeInjection=0.0, ChemVolumeRequestedResponse=0.0, FlushVolumeMeasured=0.0, LevelRemaining=1000.0)",48,"1,1,145,245,255,255,4,16,1,0,0,255,255,255,255,255,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,68,0,0,0,0"
460,920,"Dock_FillMsg5(fillType=2, b_Delivered=0, InjectionState=0, DeliveryOrder=5, TransferRate=0.0, VolumeMeasured=0.0, WaterBeforeInjection=0.0, ChemVolumeRequestedResponse=0.0, FlushVolumeMeasured=0.0, LevelRemaining=1000.0)",48,"1,1,145,245,255,255,5,16,1,0,0,255,255,255,255,255,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,68,0,0,0,0"
461,922,"Dock_FillMsg6(fillType=2, b_Delivered=0, InjectionState=0, DeliveryOrder=6, TransferRate=0.0, VolumeMeasured=0.0, WaterBeforeInjection=0.0, ChemVolumeRequestedResponse=0.0, FlushVolumeMeasured=0.0, LevelRemaining=1000.0)",48,"1,1,145,245,255,255,6,16,1,0,0,255,255,255,255,255,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,68,0,0,0,0"
462,924,"Dock_ResponseMeasure_1(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,1,7,1,0,0,255,255,255,255,255,1,1,0,2,0,0,0,0"
463,926,"Dock_ResponseMeasure_3(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=4)",24,"1,1,145,245,255,255,3,7,1,0,0,255,255,255,255,255,1,1,0,7,0,0,4,0"
464,928,"Dock_ResponseMeasure_4(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,4,7,1,0,0,255,255,255,255,255,1,1,0,10,0,0,0,0"
465,930,"Dock_ResponseMeasure_5(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,5,7,1,0,0,255,255,255,255,255,1,1,0,11,0,0,0,0"
466,932,"Dock_ResponseMeasure_6(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=0)",24,"1,1,145,245,255,255,6,7,1,0,0,255,255,255,255,255,1,1,0,6,0,0,0,0"
467,934,"Dock_ResponseMeasure_7(eDiagInfo=1, eMode=1, OutState=1, Voltage=12987, Current=2)",24,"1,1,145,245,255,255,7,7,1,0,0,255,255,255,255,255,1,1,1,0,187,50,2,0"
468,936,"Dock_ResponseMeasure_8(eDiagInfo=1, eMode=1, OutState=0, Voltage=0, Current=1)",24,"1,1,145,245,255,255,8,7,1,0,0,255,255,255,255,255,1,1,0,18,0,0,1,0"
